"Activity" "Subject" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.."
"WALKING" 1 -9.5776573972 -5.81397354825 -1.3318083063 -36.8469749335 -20.03511404714 -28.148965966 30.354187307 21.921934393 21.7129783957 -48.033944141 -63.493222061 -51.678359915 16.9874948652 -1.2304986706 -4.5143930824 -56.1627795378 -52.854225199 -66.299074756 2.4549064936 -13.2389162475 19.365690544 -60.951751826 -55.363768748 -50.691301575 -8.6224439738 -6.40131466848 -6.564739799578 -63.437665218 -68.23540967 -65.051435139 -15.9859111548 -11.533222187 -15.9859111548 -11.533222187 -56.3969880421 -53.454272235 -37.199793291 -47.556116633 -66.807900741 -66.85409303 -41.840758462 -31.038890826 -42.039837046 -35.1837420697 -20.0018121329 -26.9680958972 -42.8726526989 -13.9825660749 -13.062566356617 -57.1963058439 -54.4098188114 -63.698482822 -58.733496308 -54.14398903552 -68.840264609 -16.8530866605 -36.02122503 -29.1202193338 -54.1690079093 -57.6434359844 -49.8584356958 -63.3209207567 -54.706092876 -55.3617018013 -17.3699582705 -19.349855705 -12.7896869607 -24.3588648052 -19.3640700045 -19.3328756041 -51.937269856 -55.9471824182 -3.1027566631 -53.9276070642 -52.203711083 -16.1664681403 -66.71882998 -69.186103644 0.4322560013
"WALKING" 2 5.966976291 -1.38516195828 -6.5320790724 -6.817301179 -1.0616018153 -14.207517355 46.569526808 -6.3911754612 1.24867321386 -50.72120149 -47.75155538 -47.88141542 3.4035974617 1.1326476198 -1.6054948502 -15.4448864518 -15.0972606359 -34.225597066 1.8262844917 -7.2952433725 7.24921568531 -27.724135891 -24.866962541 -19.939816876 -4.78852644181 -4.9208696171 -7.0036592603 -29.0670767264 -36.647926003 -28.0217090616 -0.9963147921 -4.199628412 -0.9963147921 -4.199628412 -18.7595359802 -15.3930419204 -11.25512383592 -20.7802702664 -32.985851679 -35.295790452 -9.409904404 -4.1509277025 -20.307109723 -5.99523241 -3.370818787 -14.855670213 -25.11443398014 -2.42766592079 -5.611632099 -16.7309147862 -16.6842957058 -31.56755655 -18.15483121 -16.521465057 -36.86264196 -14.438528411 -21.875770745 -18.4164535633 -21.763453274 -26.7104642829 -17.441093431 -29.813252593 -24.485247358 -24.676334452 -8.540895435 -9.5264495806 -6.3717608761 -4.7483412219 -12.7564513958 -1.580500228 -14.043004883 -17.6864492557 0.8479190532 -25.1962298398 -24.664469758 -5.5480338141 -35.179840895 -37.205723224 3.94048718
"WALKING" 3 7.27438115 -1.434291056 -6.81222719 -9.486897752 -1.60618254993 -14.1985691136 48.50501708 -8.0998831043 -2.99488481345 -52.45923862 -50.513950538 -49.293996761 9.220395876 1.74730203604 0.6745936408 -17.90943615375 -15.7651474998 -33.079768438 -0.89133703127 -5.326324414 3.4206666478 -25.858321714 -24.766317729 -17.729400424 -1.89717333934 -4.6677010883 -8.6196332038 -29.805152606 -36.727488376 -28.7078500658 -3.598042687 -8.8966999592 -3.598042687 -8.8966999592 -19.57516971 -18.158090723 -11.4504525583 -20.6749721344 -33.032913568 -35.907867025 -13.0161836174 -5.338182723 -20.2678484892 -8.230896835 -3.4609332544 -14.7107789315 -26.068574668 -3.3525536965 -5.3730682003 -19.2026453225 -17.990092368 -30.629245242 -20.204612189 -16.2086191465 -35.479922328 -13.82386823892 -23.6416249339 -18.0772637102 -21.304632726 -27.04175426 -16.5340600346 -27.581061907 -23.970341154 -22.043847128 -9.935175882 -10.17032569981 -6.25215830092 -9.1051695782 -16.6325790345 -2.84978345492 -16.7609267827 -20.4568660459 2.76248472999 -25.505941748 -24.1379529796 -5.216746377 -35.417891158 -38.201626784 5.27857092005
"WALKING" 4 8.29859085 -1.20437618435 -6.744467432 -5.284001648 -2.711093525 -13.80738138958 51.76730889 -9.73102312904 -2.918048912123 -55.42694751 -54.01402294 -53.13175165 9.5486375312 0.13970270543 2.90937848 -14.2137785779 -15.115538131 -31.78600567 -0.53678424991 -5.66581110503 5.75940362335 -24.652398786 -22.6940246961 -18.569668309 -1.683978752 -5.81822841145 -5.6980456286 -28.322802817 -35.462479021 -29.625573021 -1.65910326014 -6.561888565 -1.65910326014 -6.561888565 -17.5371865584 -14.02361487336 -10.2402327197 -19.900457668 -32.439574872 -34.81036546 -8.5503873881 -5.494988826 -19.470582356 -4.1396399515 -5.0361886562 -14.713838829 -26.4900878442 -4.0240249413 -2.2753577121 -15.7510108788 -16.9515565804 -29.14288548 -16.7849958706 -16.222661699 -34.42088155 -17.3391447054 -23.312790946 -16.6340207002 -19.062261771 -24.931951799 -17.195356345 -26.613730599 -22.0088924982 -23.109523326 -10.0194293164 -8.50399046107 -7.494115742 -5.7806301021 -15.471881029 -0.76349860084 -12.6406603099 -16.4110848552 1.4902619282 -24.022301397 -24.2209825463 -3.248155646 -34.4475873905 -37.226384384 7.6491288149
"WALKING" 5 8.43286029 -0.91783104294 -5.565370433 -7.7907461839 0.617196629 -11.048668064 46.58201276 -10.15167936 -3.6570807368 -52.45388565 -51.07753248 -49.74743585 5.267960739 -3.1217441977 -3.684915532 -13.5122587596 -13.0332639817 -28.4121475454 -2.7993360509 -4.9024047502 4.63702324969 -21.565048361 -18.889647429 -12.5109747058 -5.2976757633 -6.94404709745 -5.778197429 -27.603218313 -31.0703453768 -25.878219825 -2.3745115924 -5.356171281 -2.3745115924 -5.356171281 -16.006779722 -12.1643410851 -7.664767156 -15.1080163634 -29.001437365 -30.737586946 -8.9320938415 -2.5494181441 -15.1378698959 -7.46316711318 -1.5282085787 -12.563280766 -23.283579563 -4.342667995 -1.64921999232 -14.4774732886 -14.6040361797 -25.4250802 -16.4309556984 -14.386057704 -31.4087760039 -14.7729931573 -22.83241125 -15.938041689 -17.407825112 -20.695156163 -12.909418894 -23.1763429406 -18.3592426179 -16.6143510016 -12.2491089951 -9.3121359284 -11.1680890288 -5.004866578 -13.6587478364 -2.3026556719 -11.285719085 -13.768868712 -1.7587070328 -19.861203323 -19.321026496 -5.14096048 -30.236185979 -33.322268206 4.0089051188
"WALKING" 6 9.16550797 -1.24592850761 -5.305789575 -9.5566228713 -4.819404256 -16.411861543 47.660807611 -9.624071173 1.3466981203 -52.31086326 -51.90435223 -49.75423239 5.2193556512 4.649109466 0.4138384247 -16.7859206966 -16.1456675401 -33.996004087 0.4980225986 -6.773865223 6.16417556675 -28.4234370092 -21.97685466 -21.0103868098 -5.62905946989 -7.6086100098 -6.168872707 -29.70093143 -35.18283676 -29.915944791 -5.479384405 -10.022417814 -5.479384405 -10.022417814 -19.57590638123 -17.365513737 -13.3124036727 -20.4281494074 -32.27870611 -34.866695449 -12.21350423201 -7.444701437 -22.786258226 -8.664321873 -6.952541155 -16.6014400923 -24.849467454 -1.995905407 -5.6844864377 -18.3380407742 -17.7751969248 -31.85714015 -18.868162033 -17.2071003256 -36.074574559 -15.786156929 -21.743451006 -17.9851814566 -23.316769006 -25.440574006 -19.3506031134 -30.274569683 -20.732297514 -25.0993392976 -9.2571440857 -11.1175667768 -6.288385374 -9.949844952 -17.5390876144 -1.42640846053 -15.8659067414 -19.72431517446 1.22281027585 -24.3612445314 -24.509129758 -3.88393529044 -34.614285438 -36.89980454 4.5855556438
"WALKING" 7 9.60315011 -0.6611318135 -5.920867682 -12.3867609758 -5.407275432 -15.735781212 45.35313592 -8.9562552768 -0.07025538872 -53.45864229 -52.24748466 -51.19565977 7.6405495372 3.39543072121 1.8116658054 -19.066076042 -18.0909188396 -31.97483727 -3.4332467187 -4.07396331344 6.89586087795 -28.8349983577 -23.8677769528 -20.521345434 -4.08719648553 -5.4205264887 -6.3473034934 -31.1757241685 -35.407069342 -30.7958485259 -7.2183060929 -11.2639710213 -7.2183060929 -11.2639710213 -21.077684226 -17.2938271969 -14.584006269 -22.683133994 -33.634043257 -34.446475042 -14.5083237445 -8.0985717127 -21.125997687 -11.6895945564 -7.4295566866 -16.4517871764 -24.809156613 -3.0960974083 -3.83035980651 -20.515851708 -19.7440355418 -29.753978424 -21.053304147 -18.989689385 -34.1484889 -17.309694911 -23.592799736 -18.5377685214 -24.8892428474 -26.657850282 -19.517441224 -30.283833598 -22.9452890112 -24.395030534 -12.477705616 -8.2067154718 -7.8118537262 -10.7681708933 -18.8438464386 -1.4977187916 -16.682612182 -18.4513155073 -1.2417260002 -26.205521431 -26.430589608 -4.0668971629 -34.471724746 -36.083319311 1.9990231009
"WALKING" 8 8.4168218 -1.62767429278 -5.3400984174 -11.690006069 -2.808554912 -11.973581351 36.74080311 -7.3269195526 -1.5072396563 -44.87611114 -44.09099374 -42.81437567 8.430348595 1.860034098 -1.01974407364 -15.56488171672 -13.9346797032 -27.829993079 -2.7238342813 -3.87079033468 2.678361328 -21.585126424 -18.0799147332 -13.12536761 -2.637253657867 -3.3750699862 -3.84071845 -25.340901896 -29.549221633 -23.25274755014 -6.07500466 -10.479301103 -6.07500466 -10.479301103 -16.9850471056 -15.006856157 -9.3305630275 -15.6413046813 -27.0903048111 -28.59389556586 -12.235075605 -5.2704487706 -17.137657924 -11.611260166 -4.54290485 -12.289681632 -19.4973863493 -3.697036077424 -4.536070173 -16.6341541529 -14.844359421 -25.90272736 -17.4080081755 -15.394148864 -29.715162486 -15.154230441 -18.955132118 -16.194907491 -18.670823097 -21.060472948 -12.982951514 -22.806737538 -16.829454354 -16.594589397 -10.421840434 -11.6514324708 -9.71117706056 -9.68651901984 -16.909617356 -0.98330528065 -13.6356911339 -17.145058176 0.950291229 -19.727321647 -18.727851579 -5.89769080264 -28.597515376 -30.041619151 0.5688167029
"WALKING" 9 9.40756347 -1.38875586368 -5.868285495 -12.07216667 -4.9697278837 -10.9443449734 42.84846344 -10.5717808789 -6.4859515428 -49.1068631 -47.86977837 -46.65495499 6.8491398745 1.4082382824 2.6137403854 -17.1618217965 -16.980521095 -29.149193533 0.6272260157 -4.99946856405 2.7049779 -26.175086085 -21.129992254 -14.36612249 -4.026591954 -3.9030018056 -5.2206461696 -28.56986264 -31.60602417 -28.71015254 -6.3849817565 -12.00369254 -6.3849817565 -12.00369254 -19.0162389057 -16.46286875 -12.2770495011 -20.515343276 -30.05778508 -31.7189737 -13.733495795 -8.4262709673 -17.485085161 -11.538808701 -6.3332328323 -10.9696669111 -23.10030656 -7.3525851963 -7.9226592013 -18.2957064459 -18.383995675 -26.9527805415 -19.1991192971 -17.926352337 -31.34303561684 -16.12634333 -21.2431014804 -17.987906275 -22.006898415 -23.023787586 -16.587437347 -27.65398574 -20.492719908 -17.357224083 -10.281243034 -8.113310332 -11.7040456746 -11.4474895241 -18.714008875 -1.6929445114 -15.268560705 -18.3925527398 2.0387436008 -24.016093494 -23.746047323 -4.2378116852 -31.43432742 -33.60311925 5.7321363765
"WALKING" 10 9.84774664 -1.3910281667349 -5.683377121 -8.0404639162 -0.0444315929000001 -12.32611912596 47.86653871 -11.204499971 -3.2593953349 -50.21376196 -49.12314577 -48.76397879 5.8488101266 3.7579154508 3.3591874994 -11.5084855812 -8.473676692 -27.239985238 -1.1604393015 -3.3822194904 3.0516295814 -22.305889714 -17.6720698076 -14.729176514 -3.2857652434 -5.7338811428 -2.2781813881 -22.739814482 -28.864065844 -23.17150704 -2.8559003061 -10.32177336957 -2.8559003061 -10.32177336957 -13.0187588825 -10.960308636 -9.1087687817 -17.0287491598 -25.982830258 -28.249361131 -9.44399199708 -1.6609849887 -16.9612392813 -7.6744118714 -2.67415373 -13.281776092 -21.040128858 -2.171956697 -1.63372254143 -13.362974553 -11.158649804 -25.101210144 -13.358837695 -8.592674479372 -29.305104785 -16.051962752 -21.662257986 -16.2022481488 -16.8041776869 -20.197533731 -12.9581412838 -24.1913736078 -16.821594428 -19.054440439 -8.18892249071 -7.48997736 -5.9041400925 -8.6606009912 -18.042314884 3.0286196642 -9.994110444 -12.6978968181 2.87372150814 -20.073324571 -21.389202654 1.7830324539 -28.423039361 -29.845770739 3.8019616715
